Timestamp,Hvor mange 3d-printere har du i aktiv bruk i dag?,Hvor mange kilo PLA filament kjøper du per år?,Hvilken diameter bruker du (mest)?,Hva er det meste du er villig til å betale for norskprodusert PLA filament?,Hvilke farger bruker du mest? (maks 3 valg),Hvor mye PLA filament kan du levere til gjenvinning per år?,Vil du høre mer via epost når vi lanserer?,Har du noen tilbakemeldinger eller tips til oss?,Hvor i Norge bor du?
2/17/2018 17:43:24,1,5,1.75 mm,400 kr / kg,"Sort, Hvit, Rød",1,,,1920 Sørumsand
2/17/2018 17:43:47,1,4,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit",1,,,Oslo
2/17/2018 17:45:46,2,6,1.75 mm,300 kr / kg,"Sort, Hvit, Grå",2,,,9000
2/17/2018 17:46:55,1,3,1.75 mm,300 kr / kg,Sort,1,,,281
2/17/2018 17:47:23,2,10,1.75 mm,300 kr / kg,"Sort, Hvit",3,,"Resirkulert PLA burde ikke være dyrere enn nytt, for å insentivere dette som noe mer enn bare miljøvern.",3232
2/17/2018 17:47:50,1,10,1.75 mm,350 kr / kg,"Sort, Hvit, Rød",4,,,1472 Fjellhamar
2/17/2018 17:54:27,1,10,1.75 mm,300 kr / kg,Orange,0,,,7320 fannrem 
2/17/2018 17:58:57,1,4,1.75 mm,300 kr / kg,"Sort, Hvit, Grå",0,,,650
2/17/2018 18:09:06,1,9,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit",2,,,1782/Halden
2/17/2018 18:09:23,2,6,1.75 mm,500 kr / kg,"Sort, Hvit, Grå",1,,,9020 / tromsdalen
2/17/2018 18:11:10,2,10,1.75 mm,400 kr / kg,"Sort, Hvit, Grå",2,,"Istedenfor å konkurre på pris, bør dere satse på bra kvalitet og spesielle farger. ",4250 Kopervik
2/17/2018 18:12:34,1,10,1.75 mm,400 kr / kg,"Hvit, Blå, oransj",2,,,855
2/17/2018 18:13:48,2,8,1.75 mm,300 kr / kg,"Sort, Hvit, Grå",3,,,0375 Oslo
2/17/2018 18:22:33,1,5,1.75 mm,350 kr / kg,"Sort, Blå, Rød",1,,,3142
2/17/2018 18:25:46,2,5,1.75 mm,300 kr / kg,Hvit,0,,,3050
2/17/2018 18:27:42,1,10,1.75 mm,mindre enn 300 kr/kg,"Hvit, Grå, Blå",2,,,6218
2/17/2018 18:29:35,2,10,1.75 mm,400 kr / kg,"Sort, Hvit, Grå",2,,,Oslo
2/17/2018 18:33:31,3,10,1.75 mm,mindre enn 300 kr/kg,Sort,5,,"Printer store mengder PETG flere hundre kilo pr. År, PLA not so much. Kan godt sende inn rester om det er en hensiktsmessig returordning",Tromsø
2/17/2018 18:50:21,3,10,1.75 mm,300 kr / kg,"Grå, Blå, Rød",4,,,3060 Svelvik
2/17/2018 18:54:53,3,10,1.75 mm,350 kr / kg,"Sort, Hvit",3,,,Trondheim
2/17/2018 19:28:59,2,2,1.75 mm,500 kr / kg,"Sort, Grå, Blå",1,,,360
2/17/2018 19:49:57,5,10,1.75 mm,mindre enn 300 kr/kg,Sort,10,,,6000
2/17/2018 19:52:13,1,4,1.75 mm,350 kr / kg,Sort,0,,,9415
2/17/2018 20:01:25,2,6,1.75 mm,mindre enn 300 kr/kg,"Sort, Grå, tilfeldig",2,,,stavanger
2/17/2018 20:11:35,2,10,1.75 mm,300 kr / kg,"Sort, Hvit, Transparent ",10,,,664
2/17/2018 20:26:30,1,7,1.75 mm,300 kr / kg,"Sort, Hvit, Blå",1,,,3550 Gol 
